Year,Journal,Count
2012,Frontiers in oncology,1
2013,Cancers,1
2013,Expert review of molecular diagnostics,1
2014,Cancers,2
2014,Expert review of molecular diagnostics,1
2015,Analytical chemistry,1
2015,Expert review of molecular diagnostics,8
2015,Frontiers in oncology,3
2015,International journal of molecular sciences,3
2015,"Methods in molecular biology (Clifton, N.J.)",1
2015,Molecular oncology,3
2015,Oncotarget,6
2015,Scientific reports,2
2016,Analytical chemistry,1
2016,Expert review of molecular diagnostics,12
2016,Frontiers in oncology,1
2016,International journal of molecular sciences,7
2016,"Methods in molecular biology (Clifton, N.J.)",1
2016,Molecular oncology,13
2016,Oncotarget,20
2016,Scientific reports,6
2017,Analytical chemistry,3
2017,Cancers,2
2017,"Diagnostics (Basel, Switzerland)",2
2017,Expert review of molecular diagnostics,10
2017,Frontiers in oncology,1
2017,International journal of molecular sciences,9
2017,"Methods in molecular biology (Clifton, N.J.)",11
2017,Molecular oncology,1
2017,Oncotarget,46
2017,Scientific reports,7
2018,Analytical chemistry,1
2018,Cancers,6
2018,"Diagnostics (Basel, Switzerland)",6
2018,Expert review of molecular diagnostics,8
2018,Frontiers in oncology,11
2018,International journal of molecular sciences,7
2018,"Methods in molecular biology (Clifton, N.J.)",9
2018,Molecular oncology,2
2018,Oncotarget,21
2018,Scientific reports,5
2019,Analytical chemistry,10
2019,Cancers,63
2019,"Diagnostics (Basel, Switzerland)",2
2019,Expert review of molecular diagnostics,15
2019,Frontiers in oncology,23
2019,International journal of molecular sciences,18
2019,"Methods in molecular biology (Clifton, N.J.)",11
2019,Molecular oncology,10
2019,Oncotarget,9
2019,Scientific reports,13
2020,Analytical chemistry,5
2020,Cancers,84
2020,"Diagnostics (Basel, Switzerland)",15
2020,Expert review of molecular diagnostics,12
2020,Frontiers in oncology,36
2020,International journal of molecular sciences,36
2020,"Methods in molecular biology (Clifton, N.J.)",6
2020,Molecular oncology,5
2020,Oncotarget,3
2020,Scientific reports,17
2021,Analytical chemistry,8
2021,Cancers,173
2021,"Diagnostics (Basel, Switzerland)",27
2021,Expert review of molecular diagnostics,7
2021,Frontiers in oncology,61
2021,International journal of molecular sciences,51
2021,"Methods in molecular biology (Clifton, N.J.)",18
2021,Molecular oncology,25
2021,Scientific reports,25
2022,Analytical chemistry,14
2022,Cancers,162
2022,"Diagnostics (Basel, Switzerland)",26
2022,Expert review of molecular diagnostics,4
2022,Frontiers in oncology,101
2022,International journal of molecular sciences,56
2022,"Methods in molecular biology (Clifton, N.J.)",12
2022,Molecular oncology,7
2022,Oncotarget,2
2022,Scientific reports,11
2023,Analytical chemistry,22
2023,Cancers,107
2023,"Diagnostics (Basel, Switzerland)",12
2023,Expert review of molecular diagnostics,8
2023,Frontiers in oncology,59
2023,International journal of molecular sciences,86
2023,"Methods in molecular biology (Clifton, N.J.)",34
2023,Molecular oncology,8
2023,Scientific reports,21
2024,Analytical chemistry,25
2024,Cancers,69
2024,"Diagnostics (Basel, Switzerland)",14
2024,Expert review of molecular diagnostics,5
2024,Frontiers in oncology,48
2024,International journal of molecular sciences,59
2024,"Methods in molecular biology (Clifton, N.J.)",3
2024,Molecular oncology,15
2024,Oncotarget,1
2024,Scientific reports,32
